Date,Close,High,Low,Open,Volume
20/02/15,3.059999943,3.130000114,3.019999981,3.029999971,10666700
23/02/15,3.059999943,3.099999905,3.029999971,3.049999952,6323500
24/02/15,3.109999895,3.119999886,3.019999981,3.059999943,10916300
25/02/15,3.099999905,3.140000105,3.059999943,3.079999924,6151300
26/02/15,3.079999924,3.130000114,3.059999943,3.099999905,8680900
27/02/15,3.109999895,3.119999886,3.069999933,3.069999933,7150200
02/03/15,3.210000038,3.230000019,3.109999895,3.130000114,15638100
03/03/15,3.140000105,3.230000019,3.130000114,3.200000048,8644000
04/03/15,3.049999952,3.140000105,3.00999999,3.140000105,12122100
05/03/15,2.980000019,3.099999905,2.980000019,3.099999905,11472300
06/03/15,2.920000076,2.99000001,2.829999924,2.960000038,16785200
09/03/15,2.930000067,2.980000019,2.900000095,2.920000076,12405900
10/03/15,2.920000076,2.980000019,2.920000076,2.970000029,10312400
11/03/15,2.839999914,2.950000048,2.799999952,2.920000076,11772800
12/03/15,2.75999999,2.789999962,2.720000029,2.75999999,13847200
13/03/15,2.75,2.779999971,2.710000038,2.74000001,8098100
16/03/15,2.75999999,2.809999943,2.75,2.75,6132900
17/03/15,2.769999981,2.799999952,2.74000001,2.75,7742200
18/03/15,2.75,2.819999933,2.720000029,2.769999981,11385200
19/03/15,2.74000001,2.779999971,2.730000019,2.75999999,8819400
20/03/15,2.799999952,2.799999952,2.74000001,2.75999999,10764800
23/03/15,2.839999914,2.849999905,2.799999952,2.809999943,7450200
24/03/15,2.789999962,2.849999905,2.75999999,2.849999905,8724500
25/03/15,2.630000114,2.789999962,2.559999943,2.779999971,26985300
26/03/15,2.650000095,2.700000048,2.529999971,2.589999914,28286300
27/03/15,2.720000029,2.799999952,2.630000114,2.700000048,16844100
30/03/15,2.700000048,2.75999999,2.660000086,2.730000019,8557500
31/03/15,2.680000067,2.700000048,2.650000095,2.660000086,7025000
01/04/15,2.690000057,2.75,2.650000095,2.660000086,11240500
02/04/15,2.690000057,2.700000048,2.650000095,2.660000086,7047600
06/04/15,2.700000048,2.730000019,2.680000067,2.680000067,8178500
07/04/15,2.700000048,2.74000001,2.690000057,2.700000048,5738100
08/04/15,2.710000038,2.74000001,2.680000067,2.680000067,4349000
09/04/15,2.720000029,2.75,2.690000057,2.690000057,7127600
10/04/15,2.75999999,2.779999971,2.730000019,2.74000001,6184800
13/04/15,2.779999971,2.799999952,2.730000019,2.75999999,8391500
14/04/15,2.670000076,2.789999962,2.650000095,2.769999981,13364100
15/04/15,2.700000048,2.74000001,2.650000095,2.700000048,15281400
16/04/15,2.869999886,2.940000057,2.700000048,2.720000029,28617300
17/04/15,2.579999924,2.579999924,2.450000048,2.539999962,53185300
20/04/15,2.49000001,2.569999933,2.450000048,2.559999943,29164300
21/04/15,2.349999905,2.529999971,2.349999905,2.529999971,31279400
22/04/15,2.279999971,2.359999895,2.25,2.349999905,27634900
23/04/15,2.329999924,2.359999895,2.25999999,2.279999971,15130400
24/04/15,2.299999952,2.380000114,2.299999952,2.359999895,15001200
27/04/15,2.339999914,2.359999895,2.289999962,2.299999952,13486900
28/04/15,2.309999943,2.369999886,2.309999943,2.359999895,11448700
29/04/15,2.279999971,2.329999924,2.269999981,2.299999952,11870200
30/04/15,2.25999999,2.309999943,2.25999999,2.279999971,11465300
01/05/15,2.309999943,2.309999943,2.25,2.25999999,11662800
04/05/15,2.309999943,2.359999895,2.299999952,2.309999943,9670100
05/05/15,2.279999971,2.339999914,2.25,2.339999914,12371600
06/05/15,2.289999962,2.309999943,2.24000001,2.289999962,18492100
07/05/15,2.319999933,2.319999933,2.25999999,2.319999933,15015600
08/05/15,2.309999943,2.359999895,2.299999952,2.329999924,9758800
11/05/15,2.319999933,2.349999905,2.309999943,2.309999943,10046900
12/05/15,2.349999905,2.349999905,2.299999952,2.319999933,10017500
13/05/15,2.369999886,2.380000114,2.349999905,2.359999895,7575900
14/05/15,2.329999924,2.390000105,2.329999924,2.380000114,8865100
15/05/15,2.319999933,2.380000114,2.319999933,2.329999924,8054800
18/05/15,2.349999905,2.359999895,2.329999924,2.349999905,4732800
19/05/15,2.279999971,2.369999886,2.279999971,2.359999895,9588400
20/05/15,2.319999933,2.329999924,2.279999971,2.299999952,6947700
21/05/15,2.279999971,2.349999905,2.279999971,2.309999943,7127700
22/05/15,2.279999971,2.309999943,2.269999981,2.299999952,12845400
26/05/15,2.220000029,2.279999971,2.220000029,2.269999981,10007800
27/05/15,2.279999971,2.279999971,2.200000048,2.24000001,17511000
28/05/15,2.269999981,2.329999924,2.269999981,2.279999971,12354600
29/05/15,2.279999971,2.319999933,2.25,2.269999981,7750500
01/06/15,2.25,2.299999952,2.25,2.289999962,6803700
02/06/15,2.299999952,2.299999952,2.25,2.25999999,7106000
03/06/15,2.279999971,2.319999933,2.279999971,2.299999952,8062300
04/06/15,2.329999924,2.329999924,2.25999999,2.279999971,11575800
05/06/15,2.329999924,2.339999914,2.289999962,2.309999943,7349700
08/06/15,2.309999943,2.329999924,2.289999962,2.309999943,6212900
09/06/15,2.289999962,2.359999895,2.279999971,2.349999905,12282700
10/06/15,2.319999933,2.349999905,2.299999952,2.309999943,8161200
11/06/15,2.319999933,2.349999905,2.309999943,2.339999914,7671000
12/06/15,2.309999943,2.329999924,2.299999952,2.309999943,4557600
15/06/15,2.319999933,2.349999905,2.289999962,2.319999933,8627800
16/06/15,2.349999905,2.369999886,2.319999933,2.319999933,9795000
17/06/15,2.470000029,2.539999962,2.349999905,2.369999886,27497900
18/06/15,2.519999981,2.589999914,2.480000019,2.5,25400200
19/06/15,2.579999924,2.589999914,2.460000038,2.529999971,25551700
22/06/15,2.619999886,2.670000076,2.579999924,2.609999895,19410100
23/06/15,2.609999895,2.640000105,2.549999952,2.619999886,17919600
24/06/15,2.619999886,2.660000086,2.569999933,2.599999905,17516700
25/06/15,2.579999924,2.660000086,2.569999933,2.619999886,18360200
26/06/15,2.470000029,2.549999952,2.369999886,2.539999962,97054200
29/06/15,2.339999914,2.420000076,2.309999943,2.410000086,22971500
30/06/15,2.400000095,2.430000067,2.349999905,2.430000067,19381300
01/07/15,2.420000076,2.480000019,2.359999895,2.470000029,19375000
02/07/15,2.529999971,2.630000114,2.390000105,2.430000067,31185900
06/07/15,2.470000029,2.539999962,2.440000057,2.460000038,20349400
07/07/15,2.089999914,2.140000105,2.019999981,2.039999962,46418700
08/07/15,2.00999999,2.069999933,2.00999999,2.069999933,15302900
09/07/15,1.980000019,2.059999943,1.929999948,2.039999962,23378200
10/07/15,1.960000038,2.029999971,1.950000048,2,17520800
13/07/15,1.960000038,1.99000001,1.950000048,1.970000029,9080900
14/07/15,2.049999952,2.059999943,1.970000029,2.029999971,15812300
15/07/15,1.960000038,2.089999914,1.950000048,2.069999933,13517800
16/07/15,1.870000005,2,1.870000005,1.970000029,20653300
17/07/15,1.789999962,1.899999976,1.74000001,1.870000005,28127100
20/07/15,1.799999952,1.840000033,1.769999981,1.820000052,12142400
21/07/15,1.799999952,1.830000043,1.779999971,1.820000052,15034500
22/07/15,1.789999962,1.809999943,1.75999999,1.799999952,16043400
23/07/15,1.75999999,1.809999943,1.75,1.799999952,10641900
24/07/15,1.669999957,1.769999981,1.649999976,1.75999999,16478400
27/07/15,1.620000005,1.700000048,1.610000014,1.669999957,11916500
28/07/15,1.769999981,1.769999981,1.620000005,1.620000005,14614600
29/07/15,1.960000038,1.99000001,1.75999999,1.769999981,25582200
30/07/15,1.929999948,1.99000001,1.879999995,1.940000057,15837400
31/07/15,1.929999948,1.99000001,1.919999957,1.940000057,7733700
03/08/15,2.200000048,2.200000048,1.899999976,1.929999948,26218200
04/08/15,2.130000114,2.180000067,2.049999952,2.180000067,14328400
05/08/15,2.160000086,2.210000038,2.099999905,2.109999895,13236000
06/08/15,2.109999895,2.170000076,2.099999905,2.150000095,9475000
07/08/15,2.089999914,2.140000105,2.059999943,2.099999905,7680800
10/08/15,1.929999948,1.980000019,1.820000052,1.919999957,29926200
11/08/15,1.899999976,1.929999948,1.879999995,1.909999967,7479200
12/08/15,1.899999976,1.929999948,1.840000033,1.879999995,8521200
13/08/15,1.789999962,1.909999967,1.789999962,1.899999976,7839700
14/08/15,1.840000033,1.850000024,1.789999962,1.799999952,6183400
17/08/15,1.799999952,1.879999995,1.799999952,1.820000052,9062400
18/08/15,1.799999952,1.820000052,1.75,1.789999962,9751900
19/08/15,1.799999952,1.809999943,1.75999999,1.799999952,7441200
20/08/15,1.700000048,1.799999952,1.700000048,1.789999962,13745700
21/08/15,1.779999971,1.799999952,1.679999948,1.679999948,12529500
24/08/15,1.75,1.830000043,1.649999976,1.690000057,17217400
25/08/15,1.659999967,1.820000052,1.659999967,1.820000052,12097700
26/08/15,1.720000029,1.730000019,1.659999967,1.690000057,10715300
27/08/15,1.779999971,1.840000033,1.74000001,1.74000001,11839300
28/08/15,1.850000024,1.870000005,1.75,1.75,10924600
31/08/15,1.809999943,1.870000005,1.789999962,1.820000052,6516000
01/09/15,1.710000038,1.820000052,1.710000038,1.769999981,8470700
02/09/15,1.769999981,1.769999981,1.720000029,1.75,6306100
03/09/15,1.789999962,1.850000024,1.75999999,1.75999999,7154200
04/09/15,1.820000052,1.840000033,1.75999999,1.75999999,6725300
08/09/15,1.879999995,1.879999995,1.830000043,1.850000024,6009500
09/09/15,1.850000024,1.970000029,1.830000043,1.899999976,12612300
10/09/15,1.840000033,1.879999995,1.830000043,1.840000033,4290400
11/09/15,2.00999999,2.140000105,1.809999943,1.879999995,31010300
14/09/15,1.820000052,2,1.809999943,2,16458500
15/09/15,1.860000014,1.870000005,1.809999943,1.840000033,6524400
16/09/15,1.889999986,1.899999976,1.850000024,1.870000005,4928300
17/09/15,1.889999986,1.940000057,1.870000005,1.899999976,5831600
18/09/15,1.870000005,1.919999957,1.850000024,1.870000005,11814000
21/09/15,1.809999943,1.899999976,1.809999943,1.870000005,5377800
22/09/15,1.730000019,1.840000033,1.720000029,1.799999952,9975200
23/09/15,1.700000048,1.779999971,1.690000057,1.75999999,9649200
24/09/15,1.720000029,1.730000019,1.659999967,1.679999948,11247700
25/09/15,1.710000038,1.75,1.679999948,1.75,5644600
28/09/15,1.659999967,1.700000048,1.659999967,1.690000057,5693100
29/09/15,1.669999957,1.690000057,1.649999976,1.669999957,7005300
30/09/15,1.720000029,1.720000029,1.679999948,1.700000048,5739500
01/10/15,1.74000001,1.769999981,1.720000029,1.769999981,5531700
02/10/15,1.830000043,1.830000043,1.720000029,1.75999999,7146100
05/10/15,1.799999952,1.870000005,1.769999981,1.820000052,7595600
06/10/15,1.830000043,1.860000014,1.799999952,1.799999952,8558400
07/10/15,1.860000014,1.870000005,1.820000052,1.820000052,7859200
08/10/15,1.929999948,1.950000048,1.850000024,1.870000005,9198700
09/10/15,1.960000038,1.960000038,1.889999986,1.919999957,8629100
12/10/15,1.870000005,1.960000038,1.850000024,1.960000038,7686600
13/10/15,1.919999957,1.940000057,1.860000014,1.870000005,6698400
14/10/15,1.950000048,1.960000038,1.919999957,1.919999957,10184300
15/10/15,1.970000029,2.059999943,1.950000048,1.970000029,27327100
16/10/15,1.940000057,2,1.889999986,2,21544900
19/10/15,2.00999999,2.00999999,1.909999967,1.909999967,10670800
20/10/15,2.019999981,2.029999971,1.970000029,2,5584200
21/10/15,2.099999905,2.119999886,2.00999999,2.019999981,14944100
22/10/15,2.140000105,2.160000086,2.089999914,2.099999905,8208400
23/10/15,2.210000038,2.210000038,2.099999905,2.099999905,9564200
26/10/15,2.150000095,2.210000038,2.119999886,2.210000038,6313500
27/10/15,2.150000095,2.160000086,2.099999905,2.119999886,5755600
28/10/15,2.180000067,2.200000048,2.119999886,2.140000105,6950600
29/10/15,2.130000114,2.180000067,2.109999895,2.150000095,4500400
30/10/15,2.119999886,2.150000095,2.119999886,2.140000105,4897100
02/11/15,2.190000057,2.190000057,2.109999895,2.130000114,5858700
03/11/15,2.279999971,2.289999962,2.160000086,2.160000086,8705800
04/11/15,2.200000048,2.299999952,2.180000067,2.269999981,8205300
05/11/15,2.200000048,2.24000001,2.170000076,2.210000038,4302200
06/11/15,2.150000095,2.210000038,2.130000114,2.190000057,8997100
09/11/15,2.109999895,2.180000067,2.099999905,2.150000095,6231200
10/11/15,2.019999981,2.099999905,2.019999981,2.089999914,6162200
11/11/15,2.069999933,2.089999914,2.019999981,2.019999981,3532100
12/11/15,2,2.069999933,2,2.049999952,3576800
13/11/15,1.99000001,2.039999962,1.940000057,1.99000001,5920200
16/11/15,1.99000001,2.019999981,1.950000048,1.99000001,4149700
17/11/15,1.980000019,2.039999962,1.970000029,2.00999999,5825100
18/11/15,2.119999886,2.150000095,1.980000019,1.99000001,9384700
19/11/15,2.140000105,2.160000086,2.089999914,2.099999905,4704300
20/11/15,2.220000029,2.25,2.130000114,2.140000105,10727100
23/11/15,2.220000029,2.24000001,2.180000067,2.220000029,4863200
24/11/15,2.339999914,2.400000095,2.170000076,2.200000048,15859700
25/11/15,2.380000114,2.400000095,2.309999943,2.359999895,6914800
27/11/15,2.329999924,2.380000114,2.319999933,2.369999886,2606600
30/11/15,2.359999895,2.369999886,2.25,2.339999914,9924400
01/12/15,2.339999914,2.369999886,2.309999943,2.359999895,5646400
02/12/15,2.269999981,2.339999914,2.230000019,2.309999943,7501700
03/12/15,2.230000019,2.309999943,2.200000048,2.25,7059900
04/12/15,2.279999971,2.289999962,2.210000038,2.230000019,4572600
07/12/15,2.359999895,2.359999895,2.210000038,2.25999999,8479600
08/12/15,2.390000105,2.400000095,2.25,2.339999914,9055500
09/12/15,2.349999905,2.400000095,2.319999933,2.369999886,8710000
10/12/15,2.450000048,2.5,2.329999924,2.359999895,13069400
11/12/15,2.359999895,2.470000029,2.359999895,2.410000086,11890000
14/12/15,2.339999914,2.390000105,2.299999952,2.359999895,7625700
15/12/15,2.359999895,2.430000067,2.319999933,2.349999905,7423900
16/12/15,2.539999962,2.549999952,2.369999886,2.390000105,19543600
17/12/15,2.559999943,2.599999905,2.519999981,2.519999981,11374100
18/12/15,2.450000048,2.549999952,2.420000076,2.50999999,17988100
21/12/15,2.529999971,2.529999971,2.430000067,2.470000029,6876600
